,feature,class
30,"[-426.4242      165.72266     -14.706829     12.921738     28.681015
  -24.05631     -10.5517435     8.9381275   -11.719079     -5.495675
    2.649619     -8.909327     -1.6757787     1.8443327    -9.815457
   -5.2334266    -1.0277311    -7.8269196    -4.156339     -0.80144894
   -4.791371     -2.8163595    -2.1292317    -4.6636376    -3.0418496
   -4.891783     -7.418623     -3.8866353    -4.050475     -6.5674
   -3.983134     -3.5149968    -5.984531     -5.4639726    -4.808712
   -4.929209     -4.1968675    -4.517794     -4.8681145    -4.3024845 ]",akash
31,"[-405.5976     169.98267    -17.044174    13.222172    35.059723
  -17.126669    -8.873911     7.2739305  -11.301234    -4.5514865
    1.105893   -10.298921    -2.1505125    2.0261793   -6.6889625
   -2.3555143   -1.7887697   -7.7113867   -2.9208896   -3.0574524
   -7.4280233   -2.230211    -1.4477385   -5.0253077   -2.60511
   -3.8205092   -6.6674576   -3.6432858   -3.2622018   -4.8502293
   -3.5083487   -4.4687686   -6.0744357   -5.1381307   -5.0295815
   -4.8400373   -4.1003876   -4.321403    -3.3070097   -1.9070581]",akash
32,"[-4.2999652e+02  1.5761942e+02 -1.4649959e+01  5.7965717e+00
  3.0033983e+01 -1.1672234e+01 -6.5057597e+00  7.6462235e+00
 -1.0548619e+01 -8.6018562e+00 -6.1593366e-01 -6.2756810e+00
 -8.1765878e-01  9.6201545e-01 -6.0570230e+00 -2.1525559e+00
 -2.8925934e+00 -8.6075954e+00 -1.6117469e+00 -1.5152681e-01
 -7.8810887e+00 -5.2127862e+00 -1.8106940e+00 -4.8860116e+00
 -4.1302538e+00 -3.9006348e+00 -5.2483139e+00 -2.5834022e+00
 -3.0216961e+00 -5.7287884e+00 -3.5138898e+00 -2.6674058e+00
 -4.9180074e+00 -4.4917741e+00 -3.7737949e+00 -4.0876307e+00
 -3.4846790e+00 -3.8604898e+00 -4.3604007e+00 -3.2231479e+00]",akash
33,"[-4.2479654e+02  1.8046199e+02 -2.4255346e+01  1.3104014e+01
  3.5881325e+01 -2.1717833e+01 -7.5078673e+00  1.0478530e+01
 -1.4580072e+01 -8.5507746e+00 -1.3589809e+00 -1.1693790e+01
 -3.6201152e-01  2.2410004e+00 -9.8620710e+00 -3.3945899e+00
 -2.1491554e+00 -9.4553862e+00 -1.7467389e+00 -9.6189523e-01
 -9.3774834e+00 -5.3881135e+00 -2.8835356e+00 -6.1522470e+00
 -3.6985357e+00 -3.8871629e+00 -5.5287075e+00 -2.5900686e+00
 -3.4521787e+00 -4.7430258e+00 -2.6682124e+00 -4.8612843e+00
 -6.4262295e+00 -3.8945613e+00 -4.5134931e+00 -5.1110859e+00
 -3.4492357e+00 -4.3740869e+00 -4.1936507e+00 -1.7927721e+00]",akash
34,"[-4.0752469e+02  1.7581738e+02 -2.6049597e+01  4.1331944e+00
  3.4953056e+01 -1.7643442e+01 -1.3921410e+01  4.0481954e+00
 -1.4375686e+01 -9.5484228e+00  1.3912338e-02 -8.5644169e+00
 -3.0231934e+00  2.4005137e-01 -8.2564430e+00 -5.0848222e+00
 -3.6720083e+00 -7.9436922e+00 -3.2364662e+00 -4.1959224e+00
 -1.0059713e+01 -5.3537798e+00 -2.9995079e+00 -6.0356765e+00
 -3.5304549e+00 -2.8298469e+00 -4.9645219e+00 -3.3759754e+00
 -3.5020585e+00 -5.1537580e+00 -4.8196244e+00 -5.9068584e+00
 -5.9926152e+00 -4.1341481e+00 -4.9304562e+00 -5.0529976e+00
 -2.3379197e+00 -9.8180795e-01 -2.3563921e-01  1.0702800e+00]",akash
35,"[-4.3989502e+02  1.8310736e+02 -2.8130575e+01  1.0504140e+01
  4.0766197e+01 -1.6062057e+01 -8.0380468e+00  5.4684148e+00
 -2.1529961e+01 -1.2361520e+01  5.0747496e-01 -1.4160269e+01
 -9.0207329e+00  2.4604246e-01 -7.7710319e+00 -7.2378702e+00
 -3.4643734e+00 -5.0124025e+00 -2.5361333e+00 -3.0062048e+00
 -4.1759090e+00 -4.1937318e-01 -1.5449253e+00 -3.7492559e+00
 -2.7962017e+00 -5.3893504e+00 -5.6388135e+00 -3.1896067e+00
 -5.4756093e+00 -5.0366211e+00 -1.8811065e+00 -4.4401073e+00
 -6.2050953e+00 -4.4681911e+00 -4.6768875e+00 -4.3476267e+00
 -3.6158998e+00 -4.6897435e+00 -4.6566515e+00 -5.1127143e+00]",akash
36,"[-431.13583     181.31673     -29.673782      8.9497385    36.102993
  -20.216185     -9.337783      2.815541    -23.395355    -10.377894
    1.6355337   -14.576969     -7.8522167     0.65266126   -9.739392
   -9.344991     -4.8926034    -6.0083385    -3.3774755    -3.7937887
   -4.350777     -0.67878675   -2.667566     -4.8594413    -3.3253434
   -5.2499166    -5.347482     -3.6139677    -5.4451427    -4.3296943
   -2.618852     -5.677467     -6.2711205    -5.1052504    -6.1507416
   -5.2081065    -3.9099092    -3.952947     -3.0441864    -3.8641279 ]",akash
37,"[-4.6704648e+02  1.5594281e+02 -8.2941437e+00  1.2237804e+01
  2.8595934e+01 -1.3141609e+01 -4.2695122e+00  5.0534973e+00
 -1.6429754e+01 -1.0778457e+01 -2.5589244e+00 -1.1667449e+01
 -5.5976739e+00  1.5532638e-01 -6.6938763e+00 -5.5533047e+00
 -3.2603662e+00 -5.9002028e+00 -4.0103359e+00 -3.0542994e+00
 -4.7846618e+00 -3.7061825e+00 -2.7094162e+00 -3.1576524e+00
 -4.4800806e+00 -5.2901874e+00 -3.6079912e+00 -4.1007862e+00
 -5.7385187e+00 -3.1448832e+00 -2.6733902e+00 -5.8075790e+00
 -5.4978404e+00 -4.8650250e+00 -6.1011081e+00 -5.1924872e+00
 -4.3025150e+00 -4.3832726e+00 -3.5020661e+00 -3.3873973e+00]",akash
38,"[-4.4562619e+02  1.7199902e+02 -2.6408552e+01  9.5038033e+00
  3.5947784e+01 -1.7334528e+01 -8.3889389e+00  3.8793778e+00
 -2.0841612e+01 -1.1249355e+01 -4.9071524e-01 -1.4189238e+01
 -7.8583717e+00  4.6255387e-02 -8.3760281e+00 -7.3036137e+00
 -3.9509389e+00 -6.0315342e+00 -3.6691675e+00 -3.7495270e+00
 -4.5234718e+00 -1.1418034e+00 -2.3349142e+00 -3.8016951e+00
 -1.9538437e+00 -3.9632144e+00 -5.0903969e+00 -3.4408596e+00
 -4.3434939e+00 -3.7689588e+00 -2.5822833e+00 -4.9287672e+00
 -5.5709281e+00 -4.4167337e+00 -4.8139367e+00 -4.3966722e+00
 -3.9257820e+00 -4.2490282e+00 -3.8152666e+00 -4.2467308e+00]",akash
39,"[-478.20428     167.538       -26.535864      3.657529     33.381596
  -14.3649       -9.197054      3.576465    -15.871945     -7.6790137
    1.1095378   -11.797796     -7.9743843    -1.3638994    -6.4420295
   -4.1929812    -3.06399      -5.920794     -2.538072     -2.7344701
   -4.840763     -1.1114315    -0.77245003   -3.0501623    -3.5463412
   -6.469918     -6.651427     -2.9928162    -3.2596269    -4.0289907
   -2.4112918    -2.848146     -3.7918823    -3.5917947    -4.22467
   -5.303872     -5.7999134    -4.5720863    -2.9067411    -3.731637  ]",akash
40,"[-420.21063     183.5472      -36.165142      3.6236417    37.21415
  -19.510738    -12.894088     -1.1218188   -25.957535    -11.008799
    3.7317631   -13.157975     -8.754026      0.51396924   -9.15828
   -9.695892     -5.3870263    -7.367474     -5.876147     -5.034228
   -4.5158253    -0.8910965    -1.2832187    -2.1500993    -1.8135642
   -5.034912     -5.3618803    -3.6754618    -5.372471     -4.0904026
   -2.3734715    -5.357254     -5.488477     -3.1901126    -3.625473
   -3.8810601    -4.2581043    -4.9916925    -4.111947     -4.818981  ]",akash
